country	method	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021
Eritrae	Suspected cases	96792*	97479	138982	134183$	186358	155782	139798	205836	253687	452673	346565	343054
	Microscopy examined	79024	67190	84861^	81541	63766	59268*	83599*	74962	70465	116666	101966	98068
	Microscopy positive	13894	15308	11557	10890	10993	8332	24251	14519	10325	18117	17936	10114
Ethiopia	Suspected cases	5420110	5487972	5962646	9243894	7457765	5987580	6611801	6471958&	5913799	6708222	7509602	6716458
	Microscopy examined	2509543	3418719*	3778479	8573335	7062717	5679932	6367309	6246949	5668995	6596925	7400644	6625851
	Microscopy positive	1196829	1480360	1692578	2645454	2118815	1867059	1718504	1530739	962087	904495	1743755	1397151
Kenya	Suspected cases	7557454	13127058	12883521	14742401	15204056	16037285	16290286	15362146	18435472	8911133	14060361	13748015
	Microscopy examined	2384402	3009051	4836617	6606885	7444865	7772329	6167609	5952353	4282912		6591588	7503911
	Microscopy positive	898531	1002805	1426719	2060608	2415950*	1025508	1569045	2215665	827947	4656702	1646648	1496769
Uganda	Suspected cases	15320926	12362291	16845771	26145615	19201136	22952246	27257784	22319643	17111650	25756835	27434176	25048071
	Microscopy examined	3705284	385928	3466571	3718588	2048185	3684722	4492090	5515931	1606330*	4691859	4284114	4029037
	Microscopy positive	1628595	134726	1413149	1502362	578289	1248576	1542091	1694441	458909	1622576*	1647933	1513116
United Republic of Tanzania2	Suspected cases	15452268	15442493	14659506	15177829	25197621	20829480	17881657	20276522	22784288	20981250*	22471902	20794633
	Microscopy examined	3701608	5800195	7077411	6888029	727130	673223	1386389	2888538	3015052	1840897	1696487	1534975
	Microscopy positive	1277388	1813654	1772736	1481759	572289	412702	1262679	916742	831903	366673	296052	229485
South Sudan4	Suspected cases					2492473	3814332	566043	5391360	6405779	5258306		4038950&
	Microscopy examined					27321	22721	6954	800067	1204	4689	33656^	300439
	Microscopy positive	900283	112024	225371	262520	18344	11272	2357	335642	634	1237	16535	173612
